PlatePosition,PCR,ID,OldName,MergedName,NewName
F12,pcr3,F12-pcr3,spleen_fn--_red-b-red_transmission_pcr3,spleen_fn--_red-b-red_transmission,spleen_fn--_red-b-red_transmission_pcr3
F2,pcr1,F2-pcr1,infko_m-black_blood_pcr1,infko_m-red_blood,infko_m-red_blood_pcr1
F2,pcr2,F2-pcr2,spinal_cord_ifn--_red_needle_f2_pcr2,blood_meal_control_2,blood_meal_control_2_pcr2
F2,pcr3,F2-pcr3,brain_ifn--_red_needle_pcr3,brain_ifn--_red_needle,brain_ifn--_red_needle_pcr3
F3,pcr1,F3-pcr1,blood_meal_control_1_pcr1,infko_m-black_blood,infko_m-black_blood_pcr1
F3,pcr2,F3-pcr2,spleen_fn--_red-b-red_transmission_f3_pcr2,mosquito_9,mosquito_9_pcr2
F3,pcr3,F3-pcr3,spinal_cord_ifn--_red_needle_pcr3,spinal_cord_ifn--_red_needle,spinal_cord_ifn--_red_needle_pcr3
F4,pcr1,F4-pcr1,blood_meal_control_2_pcr1,blood_meal_control_1,blood_meal_control_1_pcr1
F4,pcr2,F4-pcr2,mosquito_19_f4_pcr2,mosquito_19,mosquito_19_pcr2
F4,pcr3,F4-pcr3,reproductive_ifn--_red_needle_pcr3,reproductive_ifn--_red_needle,reproductive_ifn--_red_needle_pcr3
F5,pcr1,F5-pcr1,mosquito_1_pcr1,blood_meal_control_2,blood_meal_control_2_pcr1
F5,pcr2,F5-pcr2,brain_ifn--_red_needle_f5_pcr2,brain_ifn--_red_needle,brain_ifn--_red_needle_pcr2
F5,pcr3,F5-pcr3,kidneys_ifn--_red_needle_pcr3,kidneys_ifn--_red_needle,kidneys_ifn--_red_needle_pcr3
F6,pcr1,F6-pcr1,mosquito_4_pcr1,mosquito_1,mosquito_1_pcr1
F6,pcr2,F6-pcr2,spinal_cord_ifn--_red_needle_f6_pcr2,spinal_cord_ifn--_red_needle,spinal_cord_ifn--_red_needle_pcr2
F6,pcr3,F6-pcr3,liver_ifn--_red_needle_pcr3,liver_ifn--_red_needle,liver_ifn--_red_needle_pcr3
F7,pcr1,F7-pcr1,mosquito_14_pcr1,mosquito_4,mosquito_4_pcr1
F7,pcr2,F7-pcr2,reproductive_ifn--_red_needle_pcr2,reproductive_ifn--_red_needle,reproductive_ifn--_red_needle_pcr2
F7,pcr3,F7-pcr3,spleen_ifn--_red_needle_pcr3,spleen_ifn--_red_needle,spleen_ifn--_red_needle_pcr3
F8,pcr1,F8-pcr1,mosquito_18_pcr1,mosquito_6,mosquito_6_pcr1
F8,pcr2,F8-pcr2,kidneys_ifn--_red_needle_pcr2,kidneys_ifn--_red_needle,kidneys_ifn--_red_needle_pcr2
F8,pcr3,F8-pcr3,brain_ifn--_red-b-red_transmission_pcr3,brain_ifn--_red-b-red_transmission,brain_ifn--_red-b-red_transmission_pcr3
F9,pcr1,F9-pcr1,mosquito_25_f9_pcr1,mosquito_9,mosquito_9_pcr1
F9,pcr2,F9-pcr2,liver_ifn--_red_needle_pcr2,liver_ifn--_red_needle,liver_ifn--_red_needle_pcr2
F9,pcr3,F9-pcr3,spinal_cord_fn--_red-b-red_transmission_pcr3,spinal_cord_fn--_red-b-red_transmission,spinal_cord_fn--_red-b-red_transmission_pcr3
G1,pcr1,G1-pcr1,brain_ifn--_red-b-red_transmission_g1_pcr1,mosquito_19,mosquito_19_pcr1
G1,pcr2,G1-pcr2,kidneys_fn--_red-b-red_transmission_pcr2,kidneys_fn--_red-b-red_transmission,kidneys_fn--_red-b-red_transmission_pcr2
G1,pcr3,G1-pcr3,negative_control_te_pcr3,negative_control_te,negative_control_te_pcr3
G10,pcr1,G10-pcr1,liver_ifn--_red_needle_g10_pcr1,liver_ifn--_red_needle,liver_ifn--_red_needle_pcr1
G11,pcr1,G11-pcr1,spleen_ifn--_red_needle_pcr1,spleen_ifn--_red_needle,spleen_ifn--_red_needle_pcr1
G12,pcr1,G12-pcr1,blood_ifn--_red_needle_g12_pcr1,blood_ifn--_red_needle,blood_ifn--_red_needle_pcr1
G2,pcr1,G2-pcr1,spleen_fn--_red-b-red_transmission_g2_pcr1,mosquito_23,mosquito_23_pcr1
G2,pcr2,G2-pcr2,liver_fn--_red-b-red_transmission_pcr2,liver_fn--_red-b-red_transmission,liver_fn--_red-b-red_transmission_pcr2
G2,pcr3,G2-pcr3,demux_negative_control_pcr3,demux_negative_control,demux_negative_control_pcr3
G3,pcr1,G3-pcr1,mosquito_25_g3_pcr1,mosquito_25,mosquito_25_pcr1
G3,pcr2,G3-pcr2,spleen_fn--_red-b-red_transmission_g3_pcr2,spleen_fn--_red-b-red_transmission,spleen_fn--_red-b-red_transmission_pcr2
G4,pcr1,G4-pcr1,mosquito_1_-_101817_pcr1,mosquito_1_-_101817,mosquito_1_-_101817_pcr1
G4,pcr2,G4-pcr2,negative_control_te_pcr2,negative_control_te,negative_control_te_pcr2
